modelYear,bt,mileage,transmission,model,variantName,ft,km,price
0.8421052631578902,2,0.3756025213199852,0,300,1156,4,0.0072727272727272,0.1017594345792241
0.7105263157894726,7,0.1490545050055617,0,62,564,4,0.0155572727272727,0.0954962813049363
0.8684210526315752,7,0.367816091954023,1,50,292,4,0.006712,0.0849533066265518
0.7894736842105203,2,0.4842417500926957,1,300,328,1,0.0163636363636363,0.0563515733406375
0.7105263157894726,2,0.5672969966629589,1,179,1806,4,0.0205081818181818,0.0452866692227291
0.7631578947368425,4,0.1601779755283648,1,289,519,4,0.0218181818181818,0.1127199528092278
0.8157894736842053,2,0.4568038561364479,1,61,1504,4,0.00667,0.0461217563259674
0.7105263157894726,7,0.1720430107526882,0,80,739,1,0.0218181818181818,0.0918427752282684
0.8947368421052602,2,0.5309603262884688,0,157,82,4,0.0058516363636363,0.085892779617695
0.8684210526315752,2,0.5198368557656656,1,158,16,4,0.005868909090909,0.0812998005498839
0.7894736842105203,2,0.4271412680756397,1,90,862,4,0.0108541818181818,0.0580217475471143
0.8684210526315752,7,0.4927697441601781,1,235,264,1,0.0083765454545454,0.0969576837356035
0.8421052631578902,7,0.6384872080088988,1,183,2022,1,0.0163636363636363,0.0808822569982648
0.8947368421052602,7,0.4149054505005562,1,85,1585,4,0.0017370909090909,0.1111541644906558
0.7368421052631575,7,0.4957360029662588,1,236,767,1,0.0135452727272727,0.0517585942728265
0.8421052631578902,7,0.2862439747868002,0,50,295,4,0.0102201818181818,0.0790033110159784
0.8947368421052602,2,0.4123099740452354,1,66,1742,4,0.0016365454545454,0.0764980497062633
0.8421052631578902,7,0.3307378568780126,0,147,810,1,0.0119012727272727,0.1258725746852322
0.8421052631578902,2,0.4308490915832406,1,66,162,4,0.0043058181818181,0.073575244844929
0.9210526315789452,8,0.5532072673340749,1,86,923,1,0.009090909090909,0.1179392472044676
0.7894736842105203,2,0.6718576195773083,1,179,2020,1,0.024464909090909,0.0635541996060685
0.7368421052631575,8,0.5684093437152393,1,180,1806,4,0.0175576363636363,0.0445559680073955
0.7894736842105203,2,0.5939933259176864,1,160,1806,4,0.0218181818181818,0.03964983127587
0.7631578947368425,4,0.5076010381905822,1,165,2019,1,0.0150921818181818,0.0799427840071216
0.8684210526315752,2,0.4308490915832406,1,66,171,4,0.0061818181818181,0.0756629626030249
0.7631578947368425,2,0.4382647385984428,0,77,803,4,0.0148425454545454,0.0490445611873018
0.8421052631578902,8,0.4048943270300334,0,63,2111,4,0.0104152727272727,0.0962269825202699
0.8157894736842053,7,0.3170189098998888,0,50,340,4,0.0127272727272727,0.0683559504496891
0.7368421052631575,2,0.4568038561364479,1,61,1504,4,0.0127272727272727,0.0323428191225343
0.8684210526315752,8,0.3974786800148314,0,295,1127,4,0.0084416363636363,0.0892331280306485
0.8421052631578902,2,0.5309603262884688,1,157,69,4,0.0032043636363636,0.0886068127032197
0.7105263157894726,8,0.4990730441230998,1,305,1024,1,0.0181818181818181,0.04225947847349
0.8947368421052602,8,0.3826473859844271,1,63,2114,4,0.0054545454545454,0.1095883761720839
0.8684210526315752,7,0.3270300333704116,1,50,286,4,0.0090345454545454,0.104891011216368
0.8157894736842053,7,0.3307378568780126,1,147,1876,1,0.02,0.1022813640187481
0.6315789473684177,8,0.3307378568780126,1,43,1094,4,0.009090909090909,0.0370401840782501
0.6315789473684177,8,0.3307378568780126,1,43,1094,4,0.009090909090909,0.0370401840782501
